,Final_year,Final_month,Final_day
0,2018,6,25
1,2018,6,18
2,2018,6,9
3,2018,6,8
4,2018,6,4
5,2018,6,3
6,2018,6,3
7,2018,5,27
8,2018,5,26
9,2018,5,26
10,2018,5,24
11,2018,5,21
12,2018,5,13
13,2018,5,13
14,2018,0,20
15,2018,5,12
16,2018,5,9
17,2018,4,30
18,2018,4,28
19,2018,4,28
20,2018,4,25
21,2018,4,25
22,2018,4,24
23,2018,4,23
24,2018,4,22
25,2018,4,19
26,2018,4,15
27,2018,4,15
28,2018,4,15
29,2018,4,15
30,2018,4,14
31,2018,4,10
32,2018,4,9
33,2018,4,5
34,2018,4,3
35,2018,3,31
36,2018,3,14
37,2018,0,20
38,2018,0,20
39,2018,2,24
40,2018,2,23
41,2018,2,18
42,2018,2,15
43,2018,2,14
44,2018,2,11
45,2018,2,3
46,2018,2,1
47,2018,1,28
48,2018,1,21
49,2018,1,14
50,2018,1,13
51,2018,1,12
52,2018,1,5
53,2017,12,31
54,2017,12,30
55,2017,12,21
56,2017,12,9
57,2017,11,30
58,2017,11,30
59,2017,11,25
60,2017,11,24
61,2017,11,18
62,2017,11,13
63,2017,11,13
64,2017,11,4
65,2017,10,31
66,2017,10,28
67,2017,10,26
68,2017,10,23
69,2017,10,23
70,2017,10,23
71,2017,10,22
72,2017,10,21
73,2017,10,18
74,2017,10,9
75,2017,10,5
76,2017,10,1
77,2017,9,25
78,2017,9,25
79,2017,9,24
80,2017,9,24
81,2017,9,20
82,2017,9,16
83,2017,9,16
84,2017,9,15
85,2017,9,15
86,2017,0,20
87,2017,9,13
88,2017,9,10
89,2017,9,10
90,2017,9,6
91,2017,9,3
92,2017,9,3
93,2017,9,2
94,2017,9,2
95,2017,9,2
96,2017,8,29
97,2017,8,27
98,2017,8,26
99,2017,8,26
100,2017,8,23
101,2017,8,18
102,2017,8,10
103,2017,8,5
104,2017,8,3
105,2017,8,1
106,2017,7,31
107,2017,7,29
108,2017,7,29
109,2017,7,27
110,2017,7,26
111,2017,7,24
112,2017,7,23
113,2017,7,23
114,2017,7,22
115,2017,7,20
116,2017,7,20
117,2017,7,20
118,2017,7,14
119,2017,7,14
120,2017,7,11
121,2017,7,9
122,2017,7,7
123,2017,7,7
124,2017,7,2
125,2017,6,29
126,2017,6,21
127,2017,6,19
128,2017,6,18
129,2017,6,18
130,2017,6,17
131,2017,0,20
132,2017,6,14
133,2017,6,11
134,2017,6,10
135,2017,6,10
136,2017,6,7
137,2017,6,4
138,2017,6,2
139,2017,5,30
140,2017,5,28
141,2017,5,27
142,2017,5,12
143,2017,5,6
144,2017,5,5
145,2017,5,3
146,2017,4,29
147,2017,4,29
148,2017,4,29
149,2017,4,29
150,2017,4,27
151,2017,4,26
152,2017,4,22
153,2017,4,20
154,2017,4,17
155,2017,4,17
156,2017,4,14
157,2017,4,13
158,2017,4,12
159,2017,4,12
160,2017,4,11
161,2017,4,10
162,2017,4,10
163,2017,4,6
164,2017,4,5
165,2017,4,2
166,2017,4,2
167,2017,3,27
168,2017,3,19
169,2017,3,18
170,2017,3,11
171,2017,3,9
172,2017,2,25
173,2017,2,24
174,2017,2,21
175,2017,2,17
176,2017,2,11
177,2017,2,6
178,2017,2,6
179,2017,2,1
180,2017,2,1
181,2017,1,24
182,2017,1,22
183,2017,1,21
184,2017,1,13
185,2017,1,13
186,2017,1,9
187,2017,1,8
188,2017,1,5
189,2017,1,3
190,2016,12,27
191,2016,12,24
192,2016,12,19
193,2016,12,14
194,2016,12,11
195,2016,12,11
196,2016,12,6
197,2016,12,1
198,2016,11,28
199,2016,11,14
200,2016,10,30
201,2016,10,29
202,2016,10,24
203,2016,10,21
204,2016,10,15
205,2016,10,14
206,2016,10,13
207,2016,10,12
208,2016,10,10
209,2016,10,2
210,2016,10,1
211,2016,9,26
212,2016,9,18
213,2016,9,18
214,2016,9,18
215,2016,9,17
216,2016,9,17
217,2016,9,16
218,2016,9,15
219,2016,9,11
220,2016,9,7
221,2016,9,6
222,2016,9,5
223,2016,9,5
224,2016,9,4
225,2016,9,1
226,2016,0,20
227,2016,8,29
228,2016,8,29
229,2016,8,27
230,2016,8,25
231,2016,8,7
232,2016,8,6
233,2016,8,4
234,2016,7,29
235,2016,7,28
236,2016,7,28
237,2016,7,27
238,2016,7,26
239,2016,7,24
240,2016,7,23
241,2016,7,23
242,2016,7,20
243,2016,7,17
244,2016,7,16
245,2016,7,16
246,2016,7,15
